ticker,sector,score,tier,reasons,price,mkt_cap,scan_date,scan_timestamp,run_type
SM,Energy,98,🟢 HIGH CONVICTION,"['Rev growth 275%', 'Gross margin 90%', 'FCF positive', 'P/S 2.6x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +81%', 'Cap $7799M', '🔁 Persistence bonus']",32.72,$7799M,2026-03-29,2026-03-29 17:48:39,manual
MUR,Energy,93,🟢 HIGH CONVICTION,"['Rev growth 302%', 'Gross margin 76%', 'FCF positive', 'P/S 2.2x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +39%', 'Cap $6038M']",42.12,$6038M,2026-03-29,2026-03-29 17:48:39,manual
KGS,Energy,93,🟢 HIGH CONVICTION,"['Rev growth 323%', 'Gross margin 63%', 'FCF positive', 'P/S 3.8x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +65%', 'Cap $5021M']",58.47,$5021M,2026-03-29,2026-03-29 17:48:39,manual
AGX,Industrials,88,🟢 HIGH CONVICTION,"['Rev growth 256%', 'FCF positive', '6mo Momentum', 'Above 50MA', 'Above 200MA', '⚡ Volume spike', 'RS vs IWM +77%', 'Cap $7902M', '🔁 Persistence bonus']",566.62,$7902M,2026-03-29,2026-03-29 17:48:39,manual
UNF,Industrials,83,🟢 HIGH CONVICTION,"['Rev growth 305%', 'FCF positive', 'P/S 1.8x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +29%', 'Cap $4495M']",248.62,$4495M,2026-03-29,2026-03-29 17:48:39,manual
PL,Industrials,73,🟡 WATCHLIST,"['Rev growth 361%', 'Gross margin 56%', 'FCF positive', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +62%', '🔁 Persistence bonus']",30.86,$10682M,2026-03-29,2026-03-29 17:48:39,manual
VSAT,Technology,88,🟢 HIGH CONVICTION,"['Rev growth 311%', 'FCF positive', 'P/S 1.4x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +36%', 'Cap $6327M', '🔁 Persistence bonus']",46.58,$6327M,2026-03-29,2026-03-29 17:48:39,manual
YOU,Technology,83,🟢 HIGH CONVICTION,"['Rev growth 337%', 'Gross margin 64%', 'FCF positive', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +36%', 'Cap $6389M']",47.44,$6389M,2026-03-29,2026-03-29 17:48:39,manual
VIAV,Technology,78,🟡 WATCHLIST,"['Rev growth 359%', 'Gross margin 60%', 'FCF positive', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +93%', 'Cap $8015M']",34.64,$8015M,2026-03-29,2026-03-29 17:48:39,manual
TPH,Consumer Cyclical,83,🟢 HIGH CONVICTION,"['Rev growth 177%', 'FCF positive', 'P/S 1.1x', '6mo Momentum', 'Above 50MA', 'Above 200MA', 'RS vs IWM +48%', 'Cap $3975M']",46.69,$3975M,2026-03-29,2026-03-29 17:48:39,manual
