ticker,sector,score,f_score,v_score,m_score,s_score,p_score,tier,price,mkt_cap_m,reason_count,scan_date,scan_timestamp,run_type
GSAT,Communication Services,103.0,43.0,0.0,30.0,30.0,0.0,🟢 HIGH CONVICTION,73.16,9408.0,9,2026-04-11,2026-04-11 16:41:48,manual
LUMN,Communication Services,78.0,38.0,10.0,20.0,10.0,0.0,🟡 WATCHLIST,7.44,7664.0,8,2026-04-11,2026-04-11 16:41:48,manual
TDS,Communication Services,68.0,38.0,0.0,20.0,10.0,0.0,🟡 WATCHLIST,45.84,5219.0,7,2026-04-11,2026-04-11 16:41:48,manual
SM,Energy,98.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,28.38,6804.0,10,2026-04-11,2026-04-11 16:41:48,manual
MUR,Energy,98.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,38.79,5560.0,10,2026-04-11,2026-04-11 16:41:48,manual
NE,Energy,88.0,33.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,48.93,7803.0,9,2026-04-11,2026-04-11 16:41:48,manual
BGC,Financial Services,93.0,43.0,10.0,30.0,10.0,0.0,🟢 HIGH CONVICTION,10.92,5179.0,9,2026-04-11,2026-04-11 16:41:48,manual
PIPR,Financial Services,83.0,43.0,10.0,20.0,10.0,0.0,🟢 HIGH CONVICTION,83.47,5951.0,8,2026-04-11,2026-04-11 16:41:48,manual
MC,Financial Services,78.0,43.0,10.0,15.0,10.0,0.0,🟡 WATCHLIST,63.04,4665.0,7,2026-04-11,2026-04-11 16:41:48,manual
VSAT,Technology,88.0,33.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,56.25,7641.0,9,2026-04-11,2026-04-11 16:41:48,manual
GSAT,Communication Services,103.0,43.0,0.0,30.0,30.0,0.0,🟢 HIGH CONVICTION,73.16,9408.0,9,2026-04-11,2026-04-11 16:48:20,manual
LUMN,Communication Services,78.0,38.0,10.0,20.0,10.0,0.0,🟡 WATCHLIST,7.44,7664.0,8,2026-04-11,2026-04-11 16:48:20,manual
TDS,Communication Services,68.0,38.0,0.0,20.0,10.0,0.0,🟡 WATCHLIST,45.84,5219.0,7,2026-04-11,2026-04-11 16:48:20,manual
SM,Energy,98.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,28.38,6804.0,10,2026-04-11,2026-04-11 16:48:20,manual
MUR,Energy,98.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,38.79,5560.0,10,2026-04-11,2026-04-11 16:48:20,manual
NE,Energy,88.0,33.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,48.93,7803.0,9,2026-04-11,2026-04-11 16:48:20,manual
BGC,Financial Services,93.0,43.0,10.0,30.0,10.0,0.0,🟢 HIGH CONVICTION,10.92,5179.0,9,2026-04-11,2026-04-11 16:48:20,manual
PIPR,Financial Services,83.0,43.0,10.0,20.0,10.0,0.0,🟢 HIGH CONVICTION,83.47,5951.0,8,2026-04-11,2026-04-11 16:48:20,manual
MC,Financial Services,78.0,43.0,10.0,15.0,10.0,0.0,🟡 WATCHLIST,63.04,4665.0,7,2026-04-11,2026-04-11 16:48:20,manual
VSAT,Technology,88.0,33.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,56.25,7641.0,9,2026-04-11,2026-04-11 16:48:20,manual
GSAT,Communication Services,113.0,43.0,0.0,30.0,30.0,0.0,🟢 HIGH CONVICTION,73.16,9408.0,10,2026-04-11,2026-04-11 18:30:14,manual
LUMN,Communication Services,86.0,38.0,10.0,20.0,10.0,0.0,🟢 HIGH CONVICTION,7.44,7664.0,9,2026-04-11,2026-04-11 18:30:14,manual
TDS,Communication Services,75.0,38.0,0.0,20.0,10.0,0.0,🟡 WATCHLIST,45.84,5219.0,8,2026-04-11,2026-04-11 18:30:14,manual
SM,Energy,108.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,28.38,6804.0,11,2026-04-11,2026-04-11 18:30:14,manual
MUR,Energy,108.0,43.0,10.0,30.0,10.0,5.0,🟢 HIGH CONVICTION,38.79,5560.0,11,2026-04-11,2026-04-11 18:30:14,manual
