ticker,first_seen,times_flagged,last_score
ASTS,15 Mar 2026,4,70
DAVE,15 Mar 2026,4,70
PL,15 Mar 2026,14,73
AMPX,15 Mar 2026,3,65
S,15 Mar 2026,3,65
SSRM,15 Mar 2026,6,93
CTRE,15 Mar 2026,6,80
CNX,15 Mar 2026,6,80
LGND,15 Mar 2026,6,80
ARWR,15 Mar 2026,6,75
CWAN,15 Mar 2026,6,75
MIRM,15 Mar 2026,7,88
HP,15 Mar 2026,5,73
CDE,15 Mar 2026,2,70
SITM,17 Mar 2026,2,75
GKOS,18 Mar 2026,2,75
HL,19 Mar 2026,1,70
GLNG,20 Mar 2026,1,80
STNG,20 Mar 2026,1,75
SM,20 Mar 2026,17,98
TTMI,21 Mar 2026,2,70
VSAT,21 Mar 2026,14,88
PLXS,21 Mar 2026,4,88
FCFS,21 Mar 2026,13,103
WSFS,21 Mar 2026,9,88
NE,21 Mar 2026,7,65
VAL,21 Mar 2026,6,65
AGX,21 Mar 2026,5,88
FORM,23 Mar 2026,1,65
AIR,23 Mar 2026,2,65
TEX,24 Mar 2026,4,65
ENS,24 Mar 2026,5,88
PIPR,24 Mar 2026,1,65
MATX,25 Mar 2026,4,88
DOCN,26 Mar 2026,1,65
FLG,27 Mar 2026,1,65
MUR,28 Mar 2026,9,98
KGS,28 Mar 2026,9,98
ENVA,28 Mar 2026,4,83
JXN,28 Mar 2026,2,73
ACLS,28 Mar 2026,2,88
UNF,29 Mar 2026,1,83
YOU,29 Mar 2026,1,83
VIAV,29 Mar 2026,1,78
TPH,29 Mar 2026,1,83
GSAT,31 Mar 2026,5,98
LUMN,31 Mar 2026,5,73
ESE,31 Mar 2026,1,88
FULT,01 Apr 2026,1,78
CSTM,01 Apr 2026,2,93
CENX,01 Apr 2026,2,83
ALKS,01 Apr 2026,2,93
TDS,03 Apr 2026,3,68
BGC,03 Apr 2026,2,83
PTCT,07 Apr 2026,1,78
