ticker,sector,score,f_score,v_score,m_score,s_score,p_score,tier,reasons,price,mkt_cap,scan_date,scan_timestamp,run_type
SM,Energy,124,43,25,30,10,5,🟢 HIGH CONVICTION,"[""Rev growth 275%"", ""Gross margin 90%"", ""FCF positive"", ""PEG 0.7"", ""P/S 2.3x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +47%"", ""Cap $6976M"", ""\ud83d\udd01 Persistence bonus"", ""Bull Regime Adj""]",29.1,$6976M,2026-04-28,2026-04-28 10:10:39,scheduled
GSAT,Communication Services,124,43,15,30,20,5,🟢 HIGH CONVICTION,"[""Rev growth 346%"", ""Gross margin 64%"", ""FCF positive"", ""PEG 0.5"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +24%"", ""Inst. 26%"", ""\ud83d\udd01 Persistence bonus"", ""Bull Regime Adj""]",81.9,$10516M,2026-04-28,2026-04-28 10:10:39,scheduled
MUR,Energy,113,43,25,20,10,5,🟢 HIGH CONVICTION,"[""Rev growth 302%"", ""Gross margin 76%"", ""FCF positive"", ""PEG 0.3"", ""P/S 2.1x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""Cap $5642M"", ""\ud83d\udd01 Persistence bonus"", ""Bull Regime Adj""]",39.36,$5642M,2026-04-28,2026-04-28 10:10:39,scheduled
CRC,Energy,113,38,25,30,10,0,🟢 HIGH CONVICTION,"[""Rev growth 267%"", ""Gross margin 54%"", ""FCF positive"", ""PEG 0.2"", ""P/S 1.7x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +24%"", ""Cap $5795M"", ""Bull Regime Adj""]",65.3,$5795M,2026-04-28,2026-04-28 10:10:39,scheduled
VSAT,Technology,113,33,25,30,10,5,🟢 HIGH CONVICTION,"[""Rev growth 311%"", ""FCF positive"", ""PEG 0.3"", ""P/S 1.7x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +25%"", ""Cap $7968M"", ""\ud83d\udd01 Persistence bonus"", ""Bull Regime Adj""]",58.66,$7968M,2026-04-28,2026-04-28 10:10:39,scheduled
MXL,Technology,113,38,15,40,10,0,🟢 HIGH CONVICTION,"[""Rev growth 430%"", ""Gross margin 57%"", ""FCF positive"", ""PEG 0.4"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""\u26a1 Volume spike"", ""RS vs IWM +169%"", ""Cap $4625M"", ""Bull Regime Adj""]",51.65,$4625M,2026-04-28,2026-04-28 10:10:39,scheduled
DIOD,Technology,108,33,25,30,10,0,🟢 HIGH CONVICTION,"[""Rev growth 337%"", ""FCF positive"", ""PEG 0.9"", ""P/S 3.1x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +69%"", ""Cap $4660M"", ""Bull Regime Adj""]",101.28,$4660M,2026-04-28,2026-04-28 10:10:39,scheduled
SSRM,Basic Materials,108,38,25,20,10,5,🟢 HIGH CONVICTION,"[""Rev growth 404%"", ""Gross margin 51%"", ""FCF positive"", ""PEG 0.0"", ""P/S 3.9x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""Cap $6297M"", ""\ud83d\udd01 Persistence bonus"", ""Bull Regime Adj""]",30.75,$6297M,2026-04-28,2026-04-28 10:10:39,scheduled
CSTM,Basic Materials,108,33,25,30,10,0,🟢 HIGH CONVICTION,"[""Rev growth 439%"", ""FCF positive"", ""PEG 0.4"", ""P/S 0.5x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +32%"", ""Cap $4247M"", ""Bull Regime Adj""]",31.19,$4247M,2026-04-28,2026-04-28 10:10:39,scheduled
CENX,Basic Materials,108,33,25,30,10,0,🟢 HIGH CONVICTION,"[""Rev growth 301%"", ""FCF positive"", ""PEG 0.1"", ""P/S 2.4x"", ""6mo Momentum"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +23%"", ""Cap $6100M"", ""Bull Regime Adj""]",61.63,$6100M,2026-04-28,2026-04-28 10:10:39,scheduled
