ticker,first_seen,times_flagged,last_score,last_seen
ASTS,15 Mar 2026,4,70,15 Mar 2026
DAVE,15 Mar 2026,4,70,15 Mar 2026
PL,15 Mar 2026,14,73,15 Mar 2026
AMPX,15 Mar 2026,3,65,15 Mar 2026
S,15 Mar 2026,3,65,15 Mar 2026
SSRM,15 Mar 2026,4,85,15 Mar 2026
CTRE,15 Mar 2026,6,80,15 Mar 2026
CNX,15 Mar 2026,6,80,15 Mar 2026
LGND,15 Mar 2026,6,80,15 Mar 2026
ARWR,15 Mar 2026,6,75,15 Mar 2026
CWAN,15 Mar 2026,6,75,15 Mar 2026
MIRM,15 Mar 2026,6,75,15 Mar 2026
HP,15 Mar 2026,5,73,15 Mar 2026
CDE,15 Mar 2026,2,70,15 Mar 2026
SITM,17 Mar 2026,2,75,17 Mar 2026
GKOS,18 Mar 2026,2,75,18 Mar 2026
HL,19 Mar 2026,1,70,19 Mar 2026
GLNG,20 Mar 2026,1,80,20 Mar 2026
STNG,20 Mar 2026,1,75,20 Mar 2026
SM,20 Mar 2026,17,108,20 Mar 2026
TTMI,21 Mar 2026,2,70,21 Mar 2026
VSAT,21 Mar 2026,16,97,21 Mar 2026
PLXS,21 Mar 2026,4,88,21 Mar 2026
FCFS,21 Mar 2026,9,93,21 Mar 2026
WSFS,21 Mar 2026,6,65,21 Mar 2026
NE,21 Mar 2026,13,97,21 Mar 2026
VAL,21 Mar 2026,6,65,21 Mar 2026
AGX,21 Mar 2026,5,88,21 Mar 2026
FORM,23 Mar 2026,1,65,23 Mar 2026
AIR,23 Mar 2026,2,65,23 Mar 2026
TEX,24 Mar 2026,4,65,24 Mar 2026
ENS,24 Mar 2026,4,65,24 Mar 2026
PIPR,24 Mar 2026,7,97,24 Mar 2026
MATX,25 Mar 2026,3,65,25 Mar 2026
DOCN,26 Mar 2026,1,65,26 Mar 2026
FLG,27 Mar 2026,1,65,27 Mar 2026
MUR,28 Mar 2026,9,108,28 Mar 2026
KGS,28 Mar 2026,3,93,28 Mar 2026
ENVA,28 Mar 2026,2,78,28 Mar 2026
JXN,28 Mar 2026,2,73,28 Mar 2026
ACLS,28 Mar 2026,2,88,28 Mar 2026
UNF,29 Mar 2026,1,83,29 Mar 2026
YOU,29 Mar 2026,1,83,29 Mar 2026
VIAV,29 Mar 2026,1,78,29 Mar 2026
TPH,29 Mar 2026,1,83,29 Mar 2026
GSAT,11 Apr 2026,6,119,11 Apr 2026
LUMN,11 Apr 2026,6,91,11 Apr 2026
TDS,11 Apr 2026,6,80,11 Apr 2026
BGC,11 Apr 2026,6,108,11 Apr 2026
MC,11 Apr 2026,6,91,11 Apr 2026
