ticker,sector,score,raw_score,raw_score_pre_regime,final_unclamped,regime_multiplier,sentiment_delta,f_score,v_score,m_score,s_score,p_score,c_score,r_score,tier,reasons,price,mkt_cap,float_shares,short_pct,days_to_cover,score_velocity,in_universe,filter_reason,scan_date,scan_timestamp,run_type
DFDV,Financial Services,72,69,69,72,1.05,0,13,0,30,15,5.0,6,0,🟡 WATCHLIST,"[""Rev growth 67%"", ""Gross margin 98%"", ""6mo Momentum +40%"", ""Above 50MA"", ""Above 200MA"", ""\u26a1 Volume spike 2x"", ""RS vs IWM +48%"", ""Inst. 15%"", ""Cap $167M"", ""Squeeze setup (22% short, 8.4d cover)"", ""\ud83d\udd01 Persistence x4 (decay 0.90)"", ""8-K: Other Events"", ""8-K: 8-K Event"", ""Bull Regime Adj""]",5.38,$167M,24333885,0.2208,8.37,1.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
QNST,Communication Services,63,60,60,63,1.05,0,18,2,29,6,5.0,0,0,🟡 WATCHLIST,"[""Rev growth 43%"", ""EPS growth 559%"", ""ROE 29%"", ""FCF positive"", ""P/S 0.9x"", ""6mo Momentum +68%"", ""Above 50MA"", ""Above 200MA"", ""Volume coiling (pre-breakout)"", ""RS vs IWM +52%"", ""Cap $1110M"", ""\ud83d\udd01 Persistence x28 (decay 0.90)"", ""Bull Regime Adj""]",19.44,$1110M,54362816,0.1076,4.41,3.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
PAYS,Technology,63,60,60,63,1.05,0,18,0,29,8,5.0,0,0,🟡 WATCHLIST,"[""Rev growth 48%"", ""EPS growth 450%"", ""ROE 31%"", ""Gross margin 61%"", ""FCF positive"", ""6mo Momentum +243%"", ""Above 50MA"", ""Above 200MA"", ""Volume coiling (pre-breakout)"", ""RS vs IWM +59%"", ""Inst. 55%"", ""Cap $704M"", ""\ud83d\udd01 Persistence x76 (decay 0.90)"", ""Bull Regime Adj""]",12.46,$704M,34600009,0.0332,2.11,3.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
PGY,Technology,62,59,59,62,1.05,0,11,4,26,10,5.0,0,3,🟡 WATCHLIST,"[""Rev growth 19%"", ""EPS growth 143%"", ""ROE 19%"", ""Gross margin 43%"", ""FCF positive"", ""PEG 0.1"", ""P/S 1.3x"", ""6mo Momentum +92%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +37%"", ""Inst. 47%"", ""Cap $1814M"", ""Squeeze setup (16% short, 3.8d cover)"", ""\ud83d\udd01 Persistence x29 (decay 0.90)"", ""\ud83c\udfc6 Runner sim 65%"", ""Bull Regime Adj""]",21.74,$1814M,70528208,0.161,3.84,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
SB,Industrials,62,59,59,62,1.05,0,15,2,24,13,5.0,0,0,🟡 WATCHLIST,"[""Rev growth 33%"", ""ROE 10%"", ""Gross margin 64%"", ""FCF positive"", ""P/S 2.9x"", ""6mo Momentum +32%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +31%"", ""Inst. 39%"", ""Cap $880M"", ""\ud83d\udd01 Persistence x25 (decay 0.90)"", ""Bull Regime Adj""]",8.64,$880M,51072850,0.0495,1.87,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
EVER,Communication Services,60,57,57,60,1.05,0,16,2,24,10,5.0,0,0,🟡 WATCHLIST,"[""Rev growth 25%"", ""EPS growth 36%"", ""ROE 54%"", ""Gross margin 98%"", ""FCF positive"", ""P/S 1.2x"", ""6mo Momentum +59%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +26%"", ""Cap $896M"", ""High squeeze potential (25% short, 8.4d cover)"", ""\ud83d\udd01 Persistence x26 (decay 0.90)"", ""Bull Regime Adj""]",25.44,$896M,27296006,0.2529,8.37,-2.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
QMCO,Technology,60,57,57,60,1.05,0,6,4,26,13,5.0,0,3,🟡 WATCHLIST,"[""Rev growth 26%"", ""PEG 0.8"", ""P/S 3.2x"", ""6mo Momentum +359%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +130%"", ""Inst. 37%"", ""Cap $959M"", ""\ud83d\udd01 Persistence x69 (decay 0.90)"", ""\ud83c\udfc6 Runner sim 75%"", ""Bull Regime Adj""]",24.33,$959M,31948900,0.051,0.98,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
PSNYW,Consumer Cyclical,60,57,57,60,1.05,0,10,2,26,16,0.0,0,3,🟡 WATCHLIST,"[""Rev growth 45%"", ""P/S 0.3x"", ""6mo Momentum +94%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +78%"", ""Inst. 7% (undiscovered)"", ""Cap $855M"", ""\ud83c\udfc6 Runner sim 73%"", ""Bull Regime Adj""]",5.9,$855M,29325670,0.0,0.15,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
FTK,Energy,59,56,56,59,1.05,0,18,2,18,13,5.0,0,0,🟡 WATCHLIST,"[""Rev growth 70%"", ""EPS growth 420%"", ""ROE 38%"", ""P/S 2.9x"", ""6mo Momentum +50%"", ""Above 200MA"", ""RS vs IWM +15%"", ""Inst. 35%"", ""Cap $860M"", ""\ud83d\udd01 Persistence x21 (decay 0.90)"", ""Bull Regime Adj""]",23.7,$860M,14218614,0.1997,5.73,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
KRP,Energy,59,56,56,59,1.05,0,18,0,13,13,5.0,7,0,🟡 WATCHLIST,"[""Rev growth 38%"", ""EPS growth 1889%"", ""ROE 12%"", ""Gross margin 93%"", ""FCF positive"", ""6mo Momentum +12%"", ""Above 50MA"", ""Above 200MA"", ""Inst. 32%"", ""Cap $1920M"", ""\ud83d\udd01 Persistence x11 (decay 0.90)"", ""8-K: Material Agreement"", ""8-K: 8-K Event"", ""8-K: Reg FD Disclosure"", ""Bull Regime Adj""]",14.94,$1920M,95327535,0.038900003,4.29,0.0,True,,2026-08-31,2026-08-31 19:53:35,scheduled
